,hist,ensmean,ens5th,ens25th,ens75th,ens95th
27/1/2023,0.929392695,NA,NA,NA,NA,NA
28/1/2023,4.53962183,NA,NA,NA,NA,NA
29/1/2023,0.771923661,NA,NA,NA,NA,NA
30/1/2023,8.939263344,NA,NA,NA,NA,NA
31/1/2023,3.121263742,NA,NA,NA,NA,NA
1/2/2023,6.689742088,NA,NA,NA,NA,NA
2/2/2023,7.924409866,NA,NA,NA,NA,NA
3/2/2023,5.509568691,NA,NA,NA,NA,NA
4/2/2023,12.7699585,NA,NA,NA,NA,NA
5/2/2023,3.564835072,NA,NA,NA,NA,NA
6/2/2023,3.687633276,NA,NA,NA,NA,NA
7/2/2023,0.304135174,NA,NA,NA,NA,NA
8/2/2023,1.482987165,NA,NA,NA,NA,NA
9/2/2023,8.933488846,NA,NA,NA,NA,NA
10/2/2023,1.580909133,NA,NA,NA,NA,NA
11/2/2023,0.722930312,NA,NA,NA,NA,NA
12/2/2023,0.223510981,NA,NA,NA,NA,NA
13/2/2023,11.92428684,NA,NA,NA,NA,NA
14/2/2023,10.32025146,NA,NA,NA,NA,NA
15/2/2023,13.64540195,NA,NA,NA,NA,NA
16/2/2023,10.32615852,NA,NA,NA,NA,NA
17/2/2023,12.02243996,NA,NA,NA,NA,NA
18/2/2023,20.83765221,NA,NA,NA,NA,NA
19/2/2023,5.902460575,NA,NA,NA,NA,NA
20/2/2023,1.609069347,NA,NA,NA,NA,NA
21/2/2023,0.146416247,NA,NA,NA,NA,NA
22/2/2023,1.264957666,NA,NA,NA,NA,NA
23/2/2023,0.144044638,NA,NA,NA,NA,NA
24/2/2023,0.153193235,NA,NA,NA,NA,NA
25/2/2023,0.14860408,NA,NA,NA,NA,NA
26/2/2023,NA,NA,NA,NA,NA,NA
27/2/2023,0.271169156,NA,NA,NA,NA,NA
28/2/2023,0.122371271,NA,NA,NA,NA,NA
1/3/2023,0.67223829,NA,NA,NA,NA,NA
2/3/2023,1.390950084,NA,NA,NA,NA,NA
3/3/2023,0.77010268,NA,NA,NA,NA,NA
4/3/2023,0.200665936,NA,NA,NA,NA,NA
5/3/2023,0.859654367,NA,NA,NA,NA,NA
6/3/2023,0.350791693,NA,NA,NA,NA,NA
7/3/2023,0.610426605,NA,NA,NA,NA,NA
8/3/2023,0.343894929,NA,NA,NA,NA,NA
9/3/2023,0.318449408,NA,NA,NA,NA,NA
10/3/2023,NA,NA,NA,NA,NA,NA
11/3/2023,NA,NA,NA,NA,NA,NA
12/3/2023,NA,NA,NA,NA,NA,NA
13/3/2023,0.172358781,NA,NA,NA,NA,NA
14/3/2023,NA,NA,NA,NA,NA,NA
15/3/2023,0.129326358,NA,NA,NA,NA,NA
16/3/2023,0.795874596,NA,NA,NA,NA,NA
17/3/2023,0.275433838,NA,NA,NA,NA,NA
18/3/2023,0.365331531,NA,NA,NA,NA,NA
19/3/2023,0.164540336,NA,NA,NA,NA,NA
20/3/2023,0.376440257,NA,NA,NA,NA,NA
21/3/2023,1.349663019,NA,NA,NA,NA,NA
22/3/2023,0.356702507,NA,NA,NA,NA,NA
23/3/2023,2.272584438,NA,NA,NA,NA,NA
24/3/2023,1.190915108,NA,NA,NA,NA,NA
25/3/2023,0.260876358,NA,NA,NA,NA,NA
26/3/2023,NA,NA,NA,NA,NA,NA
27/3/2023,0.983832777,NA,NA,NA,NA,NA
28/3/2023,0.424672127,NA,NA,NA,NA,NA
29/3/2023,2.503572702,NA,NA,NA,NA,NA
30/3/2023,1.031266928,NA,NA,NA,NA,NA
31/3/2023,1.390330791,NA,NA,NA,NA,NA
1/4/2023,1.486799359,NA,NA,NA,NA,NA
2/4/2023,0.390019566,NA,NA,NA,NA,NA
3/4/2023,0.545165956,NA,NA,NA,NA,NA
4/4/2023,NA,NA,NA,NA,NA,NA
5/4/2023,NA,NA,NA,NA,NA,NA
6/4/2023,NA,NA,NA,NA,NA,NA
7/4/2023,NA,NA,NA,NA,NA,NA
8/4/2023,NA,NA,NA,NA,NA,NA
9/4/2023,NA,NA,NA,NA,NA,NA
10/4/2023,0.532760084,NA,NA,NA,NA,NA
11/4/2023,0.634880364,NA,NA,NA,NA,NA
12/4/2023,NA,NA,NA,NA,NA,NA
13/4/2023,NA,NA,NA,NA,NA,NA
14/4/2023,NA,NA,NA,NA,NA,NA
15/4/2023,NA,NA,NA,NA,NA,NA
16/4/2023,0.115969501,NA,NA,NA,NA,NA
17/4/2023,NA,NA,NA,NA,NA,NA
18/4/2023,NA,NA,NA,NA,NA,NA
19/4/2023,NA,NA,NA,NA,NA,NA
20/4/2023,NA,NA,NA,NA,NA,NA
21/4/2023,NA,NA,NA,NA,NA,NA
22/4/2023,NA,NA,NA,NA,NA,NA
23/4/2023,NA,NA,NA,NA,NA,NA
24/4/2023,NA,NA,NA,NA,NA,NA
25/4/2023,NA,NA,NA,NA,NA,NA
26/4/2023,NA,NA,NA,NA,NA,NA
27/4/2023,NA,NA,NA,NA,NA,NA
28/4/2023,NA,NA,NA,NA,NA,NA
29/4/2023,NA,NA,NA,NA,NA,NA
30/4/2023,NA,NA,NA,NA,NA,NA
1/5/2023,NA,NA,NA,NA,NA,NA
2/5/2023,NA,NA,NA,NA,NA,NA
3/5/2023,NA,NA,NA,NA,NA,NA
